_id,addressLine1,addressLine2,city,contactFirstName,contactLastName,country,creditLimit,customerName,phone,postalCode,salesRepEmployeeNumber,state
103,"54, rue Royale",,Nantes,Carine ,Schmitt,France,21000,Atelier graphique,40.32.2555,44000,1370,
112,8489 Strong St.,,Las Vegas,Jean,King,USA,71800,Signal Gift Stores,7025551838,83030,1166,NV
121,Erling Skakkes gate 78,,Stavern,Jonas ,Bergulfsen,Norway,81700,Baane Mini Imports,07-98 9555,4110,1504,
124,5677 Strong St.,,San Rafael,Susan,Nelson,USA,210500,Mini Gifts Distributors Ltd.,4155551450,97562,1165,CA
125,ul. Filtrowa 68,,Warszawa,Zbyszek ,Piestrzeniewicz,Poland,0,Havel & Zbyszek Co,(26) 642-7555,01-012,,
128,Lyonerstr. 34,,Frankfurt,Roland,Keitel,Germany,59700,"Blauer See Auto, Co.",+49 69 66 90 2555,60528,1504,
129,5557 North Pendale Street,,San Francisco,Julie,Murphy,USA,64600,Mini Wheels Co.,6505555787,94217,1165,CA
114,636 St Kilda Road,Level 3,Melbourne,Peter,Ferguson,Australia,117300,"Australian Collectors, Co.",03 9520 4555,3004,1611,Victoria
119,"67, rue des Cinquante Otages",,Nantes,Janine ,Labrune,France,118200,La Rochelle Gifts,40.67.8555,44000,1370,
131,897 Long Airport Avenue,,NYC,Kwai,Lee,USA,114900,Land of Toys Inc.,2125557818,10022,1323,NY
146,"2, rue du Commerce",,Lyon,Mary ,Saveley,France,123900,"Saveley & Henriot, Co.",78.32.5555,69004,1337,
148,Bronz Sok.,Bronz Apt. 3/6 Tesvikiye,Singapore,Eric,Natividad,Singapore,103800,"Dragon Souveniers, Ltd.",+65 221 7555,79903,1621,
151,4092 Furth Circle,Suite 400,NYC,Jeff,Young,USA,138500,Muscle Machine Inc,2125557413,10022,1286,NY
157,7586 Pompton St.,,Allentown,Kelvin,Leong,USA,100600,Diecast Classics Inc.,2155551555,70267,1216,PA
161,9408 Furth Circle,,Burlingame,Juri,Hashimoto,USA,84600,Technics Stores Inc.,6505556809,94217,1165,CA
166,106 Linden Road Sandown,2nd Floor,Singapore,Wendy,Victorino,Singapore,97900,Handji Gifts& Co,+65 224 1555,69045,1612,
167,Brehmen St. 121,PR 334 Sentrum,Bergen,Veysel,Oeztan,Norway  ,96800,Herkku Gifts,+47 2267 3215,N 5804,1504,
168,149 Spinnaker Dr.,Suite 101,New Haven,Keith,Franco,USA,0,American Souvenirs Inc,2035557845,97823,1286,CT
169,Estrada da sa de n. 58,,Lisboa,Isabel ,de Castro,Portugal,0,Porto Imports Co.,(1) 356-5555,1756,,
171,"184, chauss e de Tournai",,Lille,Martine ,Ranc ,France,82900,Daedalus Designs Imports,20.16.1555,59000,1370,
172,"265, boulevard Charonne",,Paris,Marie,Bertrand,France,84300,"La Corne D'abondance, Co.",(1) 42.34.2555,75012,1337,
173,4658 Baden Av.,,Cambridge,Jerry,Tseng,USA,43400,Cambridge Collectables Co.,6175555555,51247,1188,MA
175,25593 South Bay Ln.,,Bridgewater,Julie,King,USA,84300,Gift Depot Inc.,2035552570,97562,1323,CT
177,1-6-20 Dojima,,Kita-ku,Mory,Kentary,Japan,81200,Osaka Souveniers Co.,+81 06 6342 5555, 530-0003,1621,Osaka
181,2678 Kingston Rd.,Suite 101,NYC,Michael,Frick,USA,76400,Vitachrome Inc.,2125551500,10022,1286,NY
141,"C/ Moralzarzal, 86",,Madrid,Diego ,Freyre,Spain,227600,Euro+ Shopping Channel,(91) 555 94 44,28034,1370,
186,Keskuskatu 45,,Helsinki,Matti,Karttunen,Finland,96500,"Toys of Finland, Co.",90-224 8555,21240,1501,
189,25 Maiden Lane,Floor No. 4,Dublin,Dean,Cassidy,Ireland,69400,"Clover Collections, Co.",+353 1862 1555,2,1504,
187,Fauntleroy Circus,,Manchester,Rachel,Ashworth,UK,136800,"AV Stores, Co.",(171) 555-1555,EC2 5NT,1501,
198,16780 Pompton St.,,Brickhaven,Leslie,Taylor,USA,23000,Auto-Moto Classics Inc.,6175558428,58339,1216,MA
201,"12, Berkeley Gardens Blvd",,Liverpool,Elizabeth,Devon,UK,92700,"UK Collectables, Ltd.",(171) 555-2282,WX1 6LT,1501,
144,Berguvsv gen  8,,Lule ,Christina ,Berglund,Sweden,53100,"Volvo Model Replicas, Co",0921-12 3555,S-958 22,1504,
145,Vinb ltet 34,,Kobenhavn,Jytte ,Petersen,Denmark,83400,Danish Wholesale Imports,31 12 3555,1734,1401,
204,7635 Spinnaker Dr.,,Brickhaven,Miguel,Barajas,USA,68700,Online Mini Collectables,6175557555,58339,1188,MA
